,pair,block,trial,tapnr,Delta,ITI_sub1,ITI_sub2,alpha,alpha_lin,subject,jitter,ttap3
1165,206,3,65,7,0.030989170074462,0.5359749794006357,0.5460810661315918,20.814593321654392,20.8145933216544,1,0.025,3.742014169692992
1166,206,3,65,8,0.02088308334350586,0.5291509628295898,0.4739179611206046,14.207495652017196,14.207495652017199,2,0.025,4.257106065750122
1167,206,3,65,8,0.02088308334350586,0.5291509628295898,0.4739179611206046,14.207495652017196,14.207495652017199,1,0.025,4.277989149093628
1168,206,3,65,9,0.07611608505249112,,,,,2,0.025,4.731024026870727
1169,206,3,65,9,0.07611608505249112,,,,,1,0.025,4.807140111923218
1170,206,3,66,1,0.29023385047912603,0.8191490173339844,0.5037660598754883,207.40616427853405,152.59383572146598,1,0.025,0.7312209606170654
1171,206,3,66,1,0.29023385047912603,0.8191490173339844,0.5037660598754883,207.40616427853405,152.59383572146598,2,0.025,1.0214548110961914
1172,206,3,66,2,0.025149106979370117,0.5821118354797363,0.5232210159301767,17.303736350264355,17.30373635026436,2,0.025,1.5252208709716797
1173,206,3,66,2,0.025149106979370117,0.5821118354797363,0.5232210159301767,17.303736350264355,17.30373635026436,1,0.025,1.5503699779510498
1174,206,3,66,3,0.08403992652892978,0.5419211387634277,0.5641551017761222,53.6277584925941,53.6277584925941,2,0.025,2.0484418869018564
1175,206,3,66,3,0.08403992652892978,0.5419211387634277,0.5641551017761222,53.6277584925941,53.6277584925941,1,0.025,2.1324818134307857
1176,206,3,66,4,0.06180596351623535,0.5480589866638184,0.5107588768005379,43.56291760453117,43.56291760453119,2,0.025,2.6125969886779785
1177,206,3,66,4,0.06180596351623535,0.5480589866638184,0.5107588768005379,43.56291760453117,43.56291760453119,1,0.025,2.674402952194214
1178,206,3,66,5,0.09910607337951573,0.4987280368804932,0.6429581642150879,55.49068104638031,55.4906810463803,2,0.025,3.1233558654785165
1179,206,3,66,5,0.09910607337951573,0.4987280368804932,0.6429581642150879,55.49068104638031,55.4906810463803,1,0.025,3.222461938858032
1180,206,3,66,6,0.04512405395507901,0.5891089439392081,0.5241229534149152,30.99398589202516,30.993985892025165,1,0.025,3.721189975738525
1181,206,3,66,6,0.04512405395507901,0.5891089439392081,0.5241229534149152,30.99398589202516,30.993985892025165,2,0.025,3.766314029693605
1182,206,3,66,7,0.019861936569213867,0.5601460933685312,0.4760508537292481,15.020028026215227,15.020028026215243,2,0.025,4.29043698310852
1183,206,3,66,7,0.019861936569213867,0.5601460933685312,0.4760508537292481,15.020028026215227,15.020028026215243,1,0.025,4.3102989196777335
1184,206,3,66,8,0.10395717620849698,0.4727559089660645,0.7091560363769558,52.773411654590596,52.773411654590596,2,0.025,4.7664878368377686
1185,206,3,66,8,0.10395717620849698,0.4727559089660645,0.7091560363769558,52.773411654590596,52.773411654590596,1,0.025,4.870445013046265
1186,206,3,66,9,0.13244295120239435,,,,,1,0.025,5.343200922012329
1187,206,3,66,9,0.13244295120239435,,,,,2,0.025,5.475643873214724
1188,206,3,67,1,0.2064130306243888,0.5398778915405287,0.6483879089355473,137.63981112977578,137.63981112977578,2,0.025,0.398844957351685
1189,206,3,67,1,0.2064130306243888,0.5398778915405287,0.6483879089355473,137.63981112977578,137.63981112977578,1,0.025,0.6052579879760738
1190,206,3,67,2,0.09790301322937013,0.547091007232666,0.5847940444946279,64.42270901298926,64.42270901298926,2,0.025,1.0472328662872323
1191,206,3,67,2,0.09790301322937013,0.547091007232666,0.5847940444946279,64.42270901298926,64.42270901298926,1,0.025,1.1451358795166025
1192,206,3,67,3,0.06019997596740812,0.5487470626831046,0.6370010375976562,39.493589710169,39.49358971016901,2,0.025,1.6320269107818604
1193,206,3,67,3,0.06019997596740812,0.5487470626831046,0.6370010375976562,39.493589710169,39.49358971016901,1,0.025,1.6922268867492685
1194,206,3,67,4,0.028053998947143555,0.5921671390533447,0.5259840488433838,17.055049081441656,17.055049081441666,1,0.025,2.240973949432373
1195,206,3,67,4,0.028053998947143555,0.5921671390533447,0.5259840488433838,17.055049081441656,17.055049081441666,2,0.025,2.2690279483795166
1196,206,3,67,5,0.03812909126281738,0.5528218746185294,0.6080329418182373,24.82982943481769,24.829829434817697,2,0.025,2.7950119972229004
1197,206,3,67,5,0.03812909126281738,0.5528218746185294,0.6080329418182373,24.82982943481769,24.829829434817697,1,0.025,2.8331410884857178
1198,206,3,67,6,0.017081975936890537,0.5545289516448983,0.5270929336547852,11.089612758791597,11.089612758791587,1,0.025,3.3859629631042467
1199,206,3,67,6,0.017081975936890537,0.5545289516448983,0.5270929336547852,11.089612758791597,11.089612758791587,2,0.025,3.4030449390411377
1200,206,3,67,7,0.010354042053222656,0.5656001567840567,0.5599641799926758,6.5902653923472645,6.590265392347278,2,0.025,3.9301378726959233
1201,206,3,67,7,0.010354042053222656,0.5656001567840567,0.5599641799926758,6.5902653923472645,6.590265392347278,1,0.025,3.9404919147491455
1202,206,3,67,8,0.015990018844603604,0.5470700263977042,0.5299549102783203,10.522248535459985,10.522248535459994,2,0.025,4.490102052688599
1203,206,3,67,8,0.015990018844603604,0.5470700263977042,0.5299549102783203,10.522248535459985,10.522248535459994,1,0.025,4.506092071533202
1204,206,3,67,9,0.03310513496398748,,,,,2,0.025,5.020056962966919
1205,206,3,67,9,0.03310513496398748,,,,,1,0.025,5.053162097930906
1206,206,3,68,1,0.2268171310424805,0.5145719051361088,0.7677271366119376,106.3583183155953,106.3583183155953,2,0.075,0.25189900398254395
1207,206,3,68,1,0.2268171310424805,0.5145719051361088,0.7677271366119376,106.3583183155953,106.3583183155953,1,0.075,0.4787161350250244
1208,206,3,68,2,0.02633810043334828,0.5469629764556879,0.55405592918396,17.113283436873427,17.113283436873413,1,0.075,0.9932880401611331
1209,206,3,68,2,0.02633810043334828,0.5469629764556879,0.55405592918396,17.113283436873427,17.113283436873413,2,0.075,1.0196261405944815
1210,206,3,68,3,0.033431053161620206,0.5369880199432373,0.5448839664459237,22.087600075084406,22.0876000750844,1,0.075,1.5402510166168213
1211,206,3,68,3,0.033431053161620206,0.5369880199432373,0.5448839664459237,22.087600075084406,22.0876000750844,2,0.075,1.5736820697784415
1212,206,3,68,4,0.04132699966430664,0.5284340381622314,0.4720809459686279,31.51518824515127,31.515188245151247,1,0.075,2.0772390365600586
1213,206,3,68,4,0.04132699966430664,0.5284340381622314,0.4720809459686279,31.51518824515127,31.515188245151247,2,0.075,2.118566036224365
