,sample,eventcode,eventname,alpha
3575,2174663,6,s1/t1,141.64008549971555
3576,2174982,16,s2/t2,103.75301628038606
3577,2175181,7,s1/t2,103.75301628038606
3578,2175643,8,s1/t3,19.928664777344977
3579,2175671,17,s2/t3,19.928664777344977
3580,2176156,9,s1/t4,16.26845878985273
3581,2176179,18,s2/t4,16.26845878985273
3582,2176637,10,s1/t5,35.200853958093376
3583,2176684,19,s2/t5,35.200853958093376
3584,2177124,11,s1/t6,28.084388845423923
3585,2177160,20,s2/t6,28.084388845423923
3586,2177569,12,s1/t7,39.88081781097881
3587,2177622,21,s2/t7,39.88081781097881
3588,2178035,13,s1/t8,52.08565819498516
3589,2178099,22,s2/t8,52.08565819498516
3590,2178504,14,s1/t9,
3591,2178539,23,s2/t9,
3592,2178550,49,,
3593,2181449,48,,
3594,2181497,4,,
3595,2181583,5,,
3596,2184971,6,s1/t1,33.100816490417174
3597,2185019,15,s2/t1,33.100816490417174
3598,2185495,7,s1/t2,18.484115315180816
3599,2185519,16,s2/t2,18.484115315180816
3600,2185967,8,s1/t3,18.83615008915274
3601,2185991,17,s2/t3,18.83615008915274
3602,2186421,9,s1/t4,41.63605750833588
3603,2186473,18,s2/t4,41.63605750833588
3604,2186867,10,s1/t5,43.94784757968222
3605,2186923,19,s2/t5,43.94784757968222
3606,2187323,11,s1/t6,36.012824734032506
3607,2187368,20,s2/t6,36.012824734032506
3608,2187775,12,s1/t7,50.21480548521993
3609,2187839,21,s2/t7,50.21480548521993
3610,2188241,13,s1/t8,49.62715877937026
3611,2188304,22,s2/t8,49.62715877937026
3612,2188704,14,s1/t9,
3613,2188736,23,s2/t9,
3614,2188747,49,,
3615,2191125,48,,
3616,2191173,5,,
3617,2191241,4,,
3618,2194830,15,s2/t1,19.623966664251185
3619,2194881,6,s1/t1,19.623966664251185
3620,2195746,7,s1/t2,16.921825724849356
3621,2195766,16,s2/t2,16.921825724849356
3622,2196206,17,s2/t3,21.151343906713322
3623,2196234,8,s1/t3,21.151343906713322
3624,2196682,9,s1/t4,11.362325814955852
3625,2196697,18,s2/t4,11.362325814955852
3626,2197130,10,s1/t5,27.86596033511105
3627,2197164,19,s2/t5,27.86596033511105
3628,2197601,20,s2/t6,8.368633695282709
3629,2197612,11,s1/t6,8.368633695282709
3630,2198053,12,s1/t7,21.029823496304747
3631,2198078,21,s2/t7,21.029823496304747
3632,2198520,22,s2/t8,8.383312858127853
3633,2198530,13,s1/t8,8.383312858127853
3634,2198979,23,s2/t9,
3635,2198990,14,s1/t9,
3636,2199000,49,,
3637,2201383,48,,
3638,2201429,5,,
3639,2201497,4,,
