,index,pair,block,trial,tapnr,Delta,ITI_sub1,ITI_sub2,alpha,alpha_lin,subject,ttap,jitter,ttap3
4637,47837,203,11,258,6,0.011512041091919833,0.4464139938354492,0.45876002311706454,9.033774924267115,9.033774924267107,2,6.252279043197633,0.025,3.2522790431976327
4638,47838,203,11,258,7,0.023858070373535156,0.4504899978637704,0.4431009292602539,19.38363196125908,19.383631961259084,1,6.687180995941162,0.025,3.687180995941162
4639,47839,203,11,258,7,0.023858070373535156,0.4504899978637704,0.4431009292602539,19.38363196125908,19.383631961259084,2,6.711039066314697,0.025,3.7110390663146973
4640,47840,203,11,258,8,0.016469001770018643,0.4547889232635489,0.4274580478668213,13.869994182572741,13.869994182572754,1,7.1376709938049325,0.025,4.1376709938049325
4641,47841,203,11,258,8,0.016469001770018643,0.4547889232635489,0.4274580478668213,13.869994182572741,13.869994182572754,2,7.154139995574951,0.025,4.154139995574951
4642,47842,203,11,258,9,0.010861873626708984,,,,,1,7.5924599170684814,0.025,4.5924599170684814
4643,47843,203,11,258,9,0.010861873626708984,,,,,2,7.5815980434417725,0.025,4.5815980434417725
4644,47844,203,11,259,1,0.21643590927124112,0.7339699268341078,0.4695351123809819,106.15820143167475,106.15820143167475,1,3.3895690441131587,0.025,0.38956904411315874
4645,47845,203,11,259,1,0.21643590927124112,0.7339699268341078,0.4695351123809819,106.15820143167475,106.15820143167475,2,3.6060049533844,0.025,0.6060049533843999
4646,47846,203,11,259,2,0.047998905181884766,0.4575459957122794,0.5164558887481681,37.76583344058927,37.76583344058926,1,4.1235389709472665,0.025,1.1235389709472665
4647,47847,203,11,259,2,0.047998905181884766,0.4575459957122794,0.5164558887481681,37.76583344058927,37.76583344058926,2,4.075540065765382,0.025,1.0755400657653817
4648,47848,203,11,259,3,0.010910987854003906,0.47318506240844727,0.4730041027069092,8.301098110427766,8.301098110427773,1,4.581084966659546,0.025,1.581084966659546
4649,47849,203,11,259,3,0.010910987854003906,0.47318506240844727,0.4730041027069092,8.301098110427766,8.301098110427773,2,4.59199595451355,0.025,1.5919959545135498
4650,47850,203,11,259,4,0.01073002815246582,0.4670100212097168,0.46748781204223633,8.271364552053265,8.271364552053257,1,5.054270029067993,0.025,2.054270029067993
4651,47851,203,11,259,4,0.01073002815246582,0.4670100212097168,0.46748781204223633,8.271364552053265,8.271364552053257,2,5.065000057220459,0.025,2.065000057220459
4652,47852,203,11,259,5,0.011207818984985352,0.45013999938964755,0.4826231002807617,8.96346656610299,8.963466566102994,1,5.52128005027771,0.025,2.52128005027771
4653,47853,203,11,259,5,0.011207818984985352,0.45013999938964755,0.4826231002807617,8.96346656610299,8.963466566102994,2,5.532487869262695,0.025,2.5324878692626953
4654,47854,203,11,259,6,0.04369091987609952,0.46636581420898526,0.46305394172668546,33.72616661895281,33.72616661895282,1,5.9714200496673575,0.025,2.9714200496673575
4655,47855,203,11,259,6,0.04369091987609952,0.46636581420898526,0.46305394172668546,33.72616661895281,33.72616661895282,2,6.015110969543457,0.025,3.015110969543457
4656,47856,203,11,259,7,0.040379047393799716,0.4727180004119873,0.44335103034972967,30.750800792647958,30.750800792647965,1,6.437785863876343,0.025,3.4377858638763428
4657,47857,203,11,259,7,0.040379047393799716,0.4727180004119873,0.44335103034972967,30.750800792647958,30.750800792647965,2,6.4781649112701425,0.025,3.4781649112701425
4658,47858,203,11,259,8,0.01101207733154208,0.4645349979400635,0.44262003898620694,8.534013275500607,8.534013275500598,1,6.91050386428833,0.025,3.91050386428833
4659,47859,203,11,259,8,0.01101207733154208,0.4645349979400635,0.44262003898620694,8.534013275500607,8.534013275500598,2,6.921515941619872,0.025,3.921515941619872
4660,47860,203,11,259,9,0.010902881622314453,,,,,1,7.3750388622283936,0.025,4.3750388622283936
4661,47861,203,11,259,9,0.010902881622314453,,,,,2,7.364135980606079,0.025,4.364135980606079
4662,47862,203,11,260,1,0.3426220417022714,0.8741190433502202,0.49481105804443226,249.2748151189092,110.7251848810908,1,3.58289098739624,0.05,0.5828909873962398
4663,47863,203,11,260,1,0.3426220417022714,0.8741190433502202,0.49481105804443226,249.2748151189092,110.7251848810908,2,3.925513029098511,0.05,0.9255130290985112
4664,47864,203,11,260,2,0.03668594360351651,0.45964694023132324,0.48540687561035245,27.20797821551145,27.207978215511446,1,4.45701003074646,0.05,1.45701003074646
4665,47865,203,11,260,2,0.03668594360351651,0.45964694023132324,0.48540687561035245,27.20797821551145,27.207978215511446,2,4.4203240871429434,0.05,1.4203240871429434
4666,47866,203,11,260,3,0.010926008224487305,0.4758720397949219,0.4758169651031494,8.266546275756982,8.26654627575698,1,4.916656970977783,0.05,1.9166569709777832
4667,47867,203,11,260,3,0.010926008224487305,0.4758720397949219,0.4758169651031494,8.266546275756982,8.26654627575698,2,4.905730962753296,0.05,1.905730962753296
4668,47868,203,11,260,4,0.010981082916259766,0.4588820934295663,0.48099207878112704,8.218825266044337,8.218825266044348,1,5.392529010772705,0.05,2.392529010772705
4669,47869,203,11,260,4,0.010981082916259766,0.4588820934295663,0.48099207878112704,8.218825266044337,8.218825266044348,2,5.381547927856445,0.05,2.3815479278564453
4670,47870,203,11,260,5,0.011128902435300958,0.4690699577331534,0.47693896293640226,8.400246547360782,8.40024654736078,1,5.851411104202271,0.05,2.8514111042022714
4671,47871,203,11,260,5,0.011128902435300958,0.4690699577331534,0.47693896293640226,8.400246547360782,8.40024654736078,2,5.862540006637572,0.05,2.8625400066375724
4672,47872,203,11,260,6,0.018997907638549805,0.47197794914245605,0.4421360492706299,15.468647628168522,15.468647628168526,1,6.320481061935425,0.05,3.320481061935425
4673,47873,203,11,260,6,0.018997907638549805,0.47197794914245605,0.4421360492706299,15.468647628168522,15.468647628168526,2,6.339478969573975,0.05,3.3394789695739746
4674,47874,203,11,260,7,0.010843992233276367,0.45180296897888184,0.48997998237609774,7.96734018612008,7.967340186120083,1,6.792459011077881,0.05,3.792459011077881
4675,47875,203,11,260,7,0.010843992233276367,0.45180296897888184,0.48997998237609774,7.96734018612008,7.967340186120083,2,6.7816150188446045,0.05,3.7816150188446045
4676,47876,203,11,260,8,0.02733302116393954,0.4660680294036865,0.4496819972991952,21.88188025786427,21.88188025786428,1,7.244261980056763,0.05,4.244261980056763
4677,47877,203,11,260,8,0.02733302116393954,0.4660680294036865,0.4496819972991952,21.88188025786427,21.88188025786428,2,7.271595001220702,0.05,4.271595001220702
